short_name,age,overall,potential,player_positions,position_group,market_value_eur,pace,shooting,passing,dribbling,defending,physic,age_potential_gap,is_at_peak,value_per_rating
E. Koffi,27,67,67,"RB, RWB, CB",DEF,975000.0,84.0,55.0,60.0,62.0,59.0,74.0,0,1,14338.235294117647
E. Koljić,26,68,69,ST,ATT,1400000.0,57.0,69.0,52.0,61.0,33.0,74.0,1,0,20289.855072463768
E. Konsa,24,79,83,CB,DEF,22500000.0,78.0,39.0,62.0,71.0,80.0,76.0,4,0,281250.0
E. Kornvig,22,63,73,CM,MID,1100000.0,66.0,57.0,62.0,63.0,58.0,64.0,10,0,17187.5
E. Kouassi,24,68,74,"CDM, CM",MID,1800000.0,68.0,46.0,58.0,61.0,65.0,72.0,6,0,26086.956521739132
E. Koulouris,26,69,71,ST,ATT,1700000.0,67.0,69.0,56.0,68.0,27.0,63.0,2,0,24285.714285714286
E. Koyuncu,16,56,75,CB,DEF,325000.0,53.0,32.0,35.0,40.0,57.0,58.0,19,0,5701.754385964912
E. Kozik,19,59,72,"CB, RB",DEF,500000.0,68.0,29.0,43.0,45.0,62.0,62.0,13,0,8333.333333333334
E. Krafth,27,74,74,"RB, CB",DEF,4100000.0,65.0,58.0,68.0,70.0,75.0,71.0,0,1,54666.666666666664
E. Krahn,18,59,75,"CDM, CM",MID,550000.0,58.0,39.0,55.0,58.0,56.0,59.0,16,0,9166.666666666666
E. Krasniqi,22,61,67,CAM,MID,525000.0,67.0,57.0,57.0,63.0,36.0,58.0,6,0,8467.741935483871
E. Kratzer,22,56,65,"RB, RM",DEF,300000.0,62.0,36.0,43.0,48.0,54.0,52.0,9,0,5263.1578947368425
E. Kurban,22,50,57,LW,ATT,100000.0,65.0,53.0,40.0,54.0,23.0,41.0,7,0,1960.7843137254902
E. Kurtulus,22,68,75,"CB, RB",DEF,2300000.0,77.0,39.0,58.0,63.0,68.0,71.0,7,0,33333.333333333336
E. Kwateng,25,70,73,"RB, CB, RWB",DEF,1900000.0,63.0,37.0,62.0,66.0,70.0,73.0,3,0,26760.563380281692
E. Käck,32,62,62,LB,DEF,275000.0,76.0,48.0,59.0,63.0,54.0,62.0,0,1,4365.079365079365
E. Kılınç,27,72,72,"RM, CM",MID,2500000.0,73.0,69.0,66.0,75.0,51.0,58.0,0,1,34246.57534246575
E. Laird,20,71,83,"RB, RWB",DEF,4300000.0,83.0,54.0,65.0,73.0,66.0,70.0,12,0,59722.22222222222
E. Lalchhanchhuaha,20,51,64,CAM,MID,140000.0,68.0,41.0,49.0,52.0,37.0,49.0,13,0,2692.3076923076924
E. Lamela,30,79,79,"RW, CAM, ST",ATT,17000000.0,80.0,76.0,78.0,82.0,53.0,69.0,0,1,212500.0
E. Lancini,28,64,64,CB,DEF,500000.0,61.0,35.0,46.0,50.0,63.0,71.0,0,1,7692.307692307692
E. Larrosa,21,65,74,ST,ATT,1600000.0,56.0,65.0,51.0,62.0,23.0,64.0,9,0,24242.424242424244
E. Larsson,30,69,69,RB,DEF,1200000.0,66.0,54.0,65.0,65.0,64.0,79.0,0,1,17142.85714285714
E. Lastre,22,63,71,"RB, RM, RW",DEF,1000000.0,76.0,35.0,52.0,56.0,56.0,61.0,8,0,15625.0
E. Latte Lath,23,66,73,"ST, LW, CF",ATT,1700000.0,76.0,64.0,59.0,68.0,36.0,56.0,7,0,25373.13432835821
E. Le Fée,22,76,83,"CM, CAM, RM",MID,15000000.0,60.0,56.0,77.0,78.0,60.0,49.0,7,0,194805.1948051948
E. Lee,27,64,64,"CM, CAM",MID,625000.0,67.0,62.0,63.0,65.0,57.0,64.0,0,1,9615.384615384615
E. Lenjani,32,70,70,"LWB, LB, LM",DEF,1100000.0,77.0,64.0,67.0,68.0,59.0,72.0,0,1,15492.957746478873
E. Leopold,21,65,72,"CM, CF",MID,1400000.0,71.0,52.0,63.0,66.0,51.0,55.0,7,0,21212.121212121212
E. Lindell,26,62,63,"RWB, RM",DEF,425000.0,77.0,38.0,56.0,61.0,49.0,62.0,1,0,6746.0317460317465
E. Linthorst,22,66,73,"CM, CDM",MID,1700000.0,68.0,60.0,61.0,66.0,61.0,72.0,7,0,25373.13432835821
E. List,25,64,66,ST,ATT,750000.0,93.0,63.0,52.0,64.0,28.0,62.0,2,0,11538.461538461539
E. Loiodice,21,72,84,"CDM, CM",MID,5500000.0,66.0,59.0,68.0,74.0,67.0,66.0,12,0,75342.46575342465
E. Lombardo,25,66,69,LM,MID,1100000.0,80.0,61.0,59.0,71.0,35.0,46.0,3,0,16417.910447761195
E. Lomotey,24,67,74,"CDM, CB, CM",MID,1900000.0,70.0,48.0,57.0,58.0,63.0,83.0,7,0,27941.176470588234
E. Longelo,21,64,74,"LWB, LB",DEF,1300000.0,81.0,49.0,53.0,64.0,57.0,60.0,10,0,20000.0
E. Lorcado,22,67,67,"CDM, CM, CAM",MID,1100000.0,50.0,39.0,63.0,47.0,66.0,69.0,0,1,16176.470588235294
E. Louro,26,60,64,GK,GK,275000.0,69.0,55.0,58.0,63.0,56.0,66.0,4,0,4508.196721311476
E. Lueiza,22,65,65,CDM,MID,750000.0,67.0,51.0,52.0,57.0,64.0,78.0,0,1,11363.636363636364
E. Luna,20,63,71,"LW, ST, RW",ATT,1100000.0,68.0,63.0,59.0,65.0,30.0,66.0,8,0,17187.5
E. López,21,59,70,GK,GK,450000.0,69.0,55.0,58.0,63.0,56.0,66.0,11,0,7500.0
E. López,20,63,77,ST,ATT,1200000.0,64.0,65.0,48.0,60.0,25.0,65.0,14,0,18750.0
E. López,21,67,76,RB,DEF,2200000.0,83.0,52.0,60.0,70.0,59.0,71.0,9,0,32352.941176470587
E. Löder,22,61,70,"CAM, RM",MID,725000.0,71.0,56.0,56.0,63.0,39.0,52.0,9,0,11693.548387096775
E. Maciel,25,66,71,"CDM, CM",MID,1100000.0,53.0,51.0,63.0,62.0,61.0,66.0,5,0,16417.910447761195
E. Madrez,22,64,64,"LB, CB",DEF,625000.0,70.0,46.0,58.0,50.0,65.0,63.0,0,1,9615.384615384615
E. Mahmoud,21,61,73,"LM, LW",MID,800000.0,75.0,44.0,53.0,67.0,31.0,55.0,12,0,12903.225806451614
E. Majetschak,22,63,71,"CB, CM, CDM",DEF,1000000.0,66.0,53.0,62.0,60.0,62.0,68.0,8,0,15625.0
E. Makgopa,22,67,78,"ST, CF",ATT,2300000.0,74.0,67.0,50.0,63.0,31.0,64.0,11,0,33823.529411764706
E. Mammana,26,75,76,"CB, RB",DEF,6000000.0,77.0,42.0,67.0,71.0,75.0,71.0,1,0,78947.36842105263
E. Mancuso,23,64,72,RB,DEF,1200000.0,71.0,35.0,58.0,65.0,57.0,63.0,8,0,18461.53846153846
E. Manjedo,22,63,63,"CAM, LM",MID,575000.0,72.0,62.0,56.0,67.0,38.0,64.0,0,1,8984.375
E. Marcinal,30,62,62,GK,GK,275000.0,69.0,55.0,58.0,63.0,56.0,66.0,0,1,4365.079365079365
E. Marcondes,27,70,70,"CAM, CM",MID,1700000.0,72.0,68.0,68.0,71.0,42.0,64.0,0,1,23943.661971830985
E. Marković,23,63,71,"LM, RM",MID,1100000.0,77.0,58.0,56.0,65.0,30.0,60.0,8,0,17187.5
E. Martel,20,69,81,"CDM, CB",MID,3200000.0,66.0,44.0,60.0,61.0,69.0,74.0,12,0,45714.28571428572
E. Martínez,28,73,73,"LM, RM, CAM",MID,3100000.0,81.0,65.0,69.0,75.0,36.0,57.0,0,1,41891.89189189189
E. Martínez,22,71,79,CDM,MID,4000000.0,70.0,56.0,62.0,69.0,69.0,62.0,8,0,55555.555555555555
E. Martínez,29,85,85,GK,GK,35000000.0,69.0,55.0,58.0,63.0,56.0,66.0,0,1,406976.74418604653
E. Marxen,31,69,69,CB,DEF,950000.0,54.0,52.0,62.0,62.0,68.0,75.0,0,1,13571.42857142857
E. Mas,33,72,72,"LB, LWB, LM",DEF,1200000.0,78.0,60.0,64.0,69.0,69.0,75.0,0,1,16438.35616438356
E. Masciangelo,25,64,66,LB,DEF,675000.0,77.0,40.0,51.0,63.0,61.0,58.0,2,0,10384.615384615385
E. Mason-Clark,22,61,67,"ST, RM, LM",ATT,525000.0,83.0,58.0,51.0,68.0,29.0,67.0,6,0,8467.741935483871
E. Matazo,20,73,83,"CDM, CM",MID,6500000.0,73.0,58.0,70.0,75.0,67.0,75.0,10,0,87837.83783783784
E. Mathoho,32,68,68,CB,DEF,775000.0,62.0,36.0,48.0,50.0,69.0,73.0,0,1,11231.884057971014
E. Matuta,20,60,71,"CDM, CM",MID,500000.0,66.0,43.0,54.0,56.0,57.0,65.0,11,0,8196.72131147541
E. Maviram,21,61,70,LB,DEF,700000.0,61.0,32.0,44.0,55.0,62.0,58.0,9,0,11290.322580645161
E. Mayenda,17,53,79,ST,ATT,375000.0,56.0,54.0,39.0,49.0,18.0,57.0,26,0,6944.444444444444
E. Mašović,23,71,76,"CB, CDM",DEF,2600000.0,55.0,30.0,48.0,54.0,74.0,68.0,5,0,36111.11111111111
E. McGinty,22,64,72,GK,GK,1100000.0,69.0,55.0,58.0,63.0,56.0,66.0,8,0,16923.076923076922
E. McJannet,18,54,74,"CAM, CM",MID,300000.0,62.0,47.0,50.0,61.0,34.0,43.0,20,0,5454.545454545455
E. McLaughlin,20,55,69,CAM,MID,300000.0,61.0,48.0,54.0,59.0,36.0,39.0,14,0,5357.142857142857
E. McWoods,26,55,55,ST,ATT,140000.0,77.0,54.0,37.0,55.0,19.0,66.0,0,1,2500.0
E. Melkersen,19,60,72,ST,ATT,600000.0,79.0,58.0,49.0,60.0,30.0,64.0,12,0,9836.065573770491
E. Meléndez,21,60,66,"CM, CDM",MID,400000.0,63.0,59.0,61.0,62.0,59.0,59.0,6,0,6557.377049180328
E. Mena,24,70,73,"RM, RW",MID,2200000.0,79.0,54.0,62.0,68.0,36.0,56.0,3,0,30985.915492957745
E. Mena,33,76,76,"LB, LWB",DEF,3900000.0,80.0,52.0,70.0,73.0,71.0,77.0,0,1,50649.35064935065
E. Mero,23,65,71,"RM, LM",MID,1100000.0,77.0,57.0,59.0,67.0,59.0,60.0,6,0,16666.666666666668
E. Merraño,30,65,65,"LW, CM, LM",ATT,700000.0,67.0,60.0,65.0,68.0,36.0,51.0,0,1,10606.060606060606
E. Metu,19,58,72,"CM, LM",MID,475000.0,71.0,41.0,54.0,62.0,53.0,69.0,14,0,8050.847457627118
E. Meza,23,71,76,"RB, RWB",DEF,2600000.0,81.0,62.0,65.0,72.0,64.0,70.0,5,0,36111.11111111111
E. Mihaj,23,68,75,CB,DEF,2200000.0,61.0,42.0,50.0,49.0,69.0,71.0,7,0,31884.057971014492
E. Miller,29,65,65,"RB, CB, LB",DEF,625000.0,73.0,37.0,52.0,59.0,63.0,70.0,0,1,9469.69696969697
E. Millot,19,67,79,"CAM, CM",MID,2400000.0,65.0,60.0,66.0,71.0,52.0,42.0,12,0,35294.117647058825
E. Mina,31,61,61,"ST, CAM",ATT,275000.0,72.0,60.0,53.0,54.0,18.0,63.0,0,1,4435.4838709677415
E. Mitchell,19,54,65,"CDM, CB",MID,220000.0,64.0,35.0,48.0,48.0,50.0,63.0,11,0,4000.0
E. Moore,25,66,69,CB,DEF,1000000.0,33.0,30.0,45.0,44.0,66.0,81.0,3,0,14925.373134328358
E. Mor,24,73,75,"RM, LM",MID,4000000.0,88.0,64.0,65.0,83.0,38.0,57.0,2,0,54054.05405405405
E. Morales,18,54,77,CB,DEF,325000.0,58.0,23.0,38.0,34.0,55.0,58.0,23,0,5909.090909090909
E. Moreno,22,60,68,ST,ATT,550000.0,72.0,62.0,48.0,61.0,19.0,47.0,8,0,9016.393442622952
E. Moreno,28,66,66,"CDM, CM",MID,750000.0,76.0,47.0,64.0,66.0,61.0,60.0,0,1,11194.029850746268
E. Moreno,20,67,77,"RB, RWB",DEF,2100000.0,74.0,43.0,59.0,57.0,62.0,64.0,10,0,30882.352941176472
E. Moses,25,64,68,ST,ATT,825000.0,82.0,61.0,52.0,63.0,37.0,73.0,4,0,12692.307692307691
E. Mosquera,31,67,67,"LB, LWB",DEF,750000.0,67.0,45.0,60.0,60.0,63.0,75.0,0,1,11029.411764705883
E. Mosquera,21,69,81,LM,MID,3400000.0,83.0,56.0,62.0,69.0,17.0,60.0,12,0,48571.42857142857
E. Moubarik,21,66,76,CDM,MID,1800000.0,70.0,41.0,64.0,63.0,62.0,69.0,10,0,26865.671641791047
E. Mulder,33,67,67,GK,GK,325000.0,69.0,55.0,58.0,63.0,56.0,66.0,0,1,4779.411764705882
E. Munjoma,23,58,65,RB,DEF,400000.0,67.0,48.0,46.0,52.0,52.0,61.0,7,0,6779.661016949152
E. Murray,28,60,60,CB,DEF,210000.0,53.0,41.0,46.0,46.0,58.0,72.0,0,1,3442.622950819672
E. Muçi,21,65,76,"ST, CAM, CF",ATT,1600000.0,79.0,67.0,59.0,68.0,20.0,57.0,11,0,24242.424242424244
E. Muñoz,31,69,69,CB,DEF,950000.0,51.0,31.0,48.0,49.0,70.0,70.0,0,1,13571.42857142857
E. Mwepu,24,76,82,"CM, CAM, CDM",MID,12000000.0,82.0,75.0,72.0,75.0,72.0,78.0,6,0,155844.15584415584
E. Méndez,33,71,71,"CDM, CM",MID,925000.0,47.0,49.0,61.0,63.0,70.0,83.0,0,1,12847.222222222223
E. N'Jo,18,58,71,CB,DEF,450000.0,58.0,29.0,37.0,38.0,61.0,53.0,13,0,7627.118644067797
E. Ndicka,22,80,85,CB,DEF,29500000.0,80.0,51.0,71.0,73.0,81.0,79.0,5,0,364197.5308641975
E. Ndoj,25,67,70,CM,MID,1300000.0,74.0,66.0,66.0,68.0,65.0,71.0,3,0,19117.647058823528
E. Nefiz,27,62,62,"RB, LM, RM",DEF,375000.0,74.0,63.0,62.0,68.0,55.0,57.0,0,1,5952.380952380952
E. Nevitt,25,61,63,ST,ATT,425000.0,73.0,59.0,45.0,58.0,27.0,79.0,2,0,6854.8387096774195
E. Newby,26,60,60,"LM, RWB",MID,275000.0,77.0,47.0,56.0,61.0,49.0,56.0,0,1,4508.196721311476
E. Nielsen,28,63,63,ST,ATT,500000.0,88.0,57.0,53.0,66.0,37.0,70.0,0,1,7812.5
E. Nketiah,23,73,80,ST,ATT,6000000.0,81.0,71.0,55.0,75.0,25.0,61.0,7,0,81081.08108108108
E. Ntim,26,66,71,CB,DEF,1100000.0,80.0,25.0,52.0,54.0,67.0,71.0,5,0,16417.910447761195
E. Nuamah,18,62,80,"LW, ST",ATT,1000000.0,85.0,51.0,47.0,71.0,24.0,58.0,18,0,15873.015873015873
E. O'Connell,26,65,66,CB,DEF,750000.0,61.0,41.0,49.0,55.0,64.0,79.0,1,0,11363.636363636364
E. Ocansey,24,66,69,"LM, RM",MID,1200000.0,82.0,63.0,59.0,70.0,51.0,65.0,3,0,17910.44776119403
E. Ochoa,17,51,71,GK,GK,140000.0,69.0,55.0,58.0,63.0,56.0,66.0,20,0,2692.3076923076924
E. Oduah,20,61,73,"LW, ST",ATT,800000.0,81.0,56.0,50.0,62.0,26.0,64.0,12,0,12903.225806451614
E. Oelschlägel,26,67,70,GK,GK,1000000.0,69.0,55.0,58.0,63.0,56.0,66.0,3,0,14705.882352941177
E. Ogura,20,57,71,GK,GK,350000.0,69.0,55.0,58.0,63.0,56.0,66.0,14,0,6034.482758620689
E. Olivares,19,60,77,LB,DEF,600000.0,70.0,47.0,54.0,59.0,59.0,57.0,17,0,9836.065573770491
E. Olivera,32,71,71,CB,DEF,1200000.0,68.0,43.0,51.0,55.0,72.0,73.0,0,1,16666.666666666668
E. Olsson,19,56,71,CB,DEF,325000.0,61.0,24.0,38.0,42.0,54.0,58.0,15,0,5701.754385964912
E. Omeragic,20,54,70,GK,GK,250000.0,69.0,55.0,58.0,63.0,56.0,66.0,16,0,4545.454545454545
E. Omić,19,62,75,"CDM, CM",MID,900000.0,64.0,43.0,58.0,58.0,60.0,66.0,13,0,14285.714285714286
E. Ongaro,24,62,67,ST,ATT,600000.0,63.0,60.0,41.0,54.0,20.0,62.0,5,0,9523.809523809523
E. Orfano,30,64,64,"RM, RB",MID,575000.0,76.0,60.0,60.0,64.0,54.0,65.0,0,1,8846.153846153846
E. Orzusa,32,63,63,"CM, CDM",MID,375000.0,55.0,53.0,58.0,63.0,54.0,66.0,0,1,5859.375
E. Osadebe,25,61,62,"CM, RWB, CAM",MID,400000.0,83.0,57.0,60.0,64.0,53.0,72.0,1,0,6451.612903225807
E. Osam,24,56,58,LB,DEF,170000.0,62.0,36.0,47.0,52.0,51.0,66.0,2,0,2982.4561403508774
E. Otieno,25,70,73,"LB, RB",DEF,1900000.0,89.0,46.0,63.0,70.0,62.0,75.0,3,0,26760.563380281692
E. Ovendale,17,51,61,GK,GK,100000.0,69.0,55.0,58.0,63.0,56.0,66.0,10,0,1923.076923076923
E. Owusu,24,71,75,"CDM, CM",MID,2400000.0,67.0,52.0,64.0,71.0,68.0,70.0,4,0,33333.333333333336
E. Ozuna,26,64,65,"LM, LW",MID,700000.0,81.0,62.0,54.0,67.0,35.0,43.0,1,0,10769.23076923077
E. Palacios,23,79,84,"CM, CDM, CAM",MID,26500000.0,66.0,73.0,76.0,79.0,76.0,72.0,5,0,331250.0
E. Palmer-Brown,25,71,77,CB,DEF,2600000.0,65.0,30.0,52.0,53.0,69.0,77.0,6,0,36111.11111111111
E. Panicco,25,59,64,GK,GK,275000.0,69.0,55.0,58.0,63.0,56.0,66.0,5,0,4583.333333333333
E. Pap,28,66,68,GK,GK,725000.0,69.0,55.0,58.0,63.0,56.0,66.0,2,0,10820.89552238806
E. Parish,32,59,59,GK,GK,110000.0,69.0,55.0,58.0,63.0,56.0,66.0,0,1,1833.3333333333333
E. Patoulidis,20,59,70,"CAM, RM, LM",MID,500000.0,72.0,55.0,51.0,66.0,31.0,42.0,11,0,8333.333333333334
E. Pavez,32,73,73,"CDM, CM",MID,2000000.0,79.0,65.0,68.0,71.0,68.0,81.0,0,1,27027.027027027027
E. Pavlis,19,61,75,"CAM, RW",MID,775000.0,67.0,56.0,63.0,61.0,56.0,52.0,14,0,12500.0
E. Penilla,26,65,68,"CB, RWB, LWB",DEF,825000.0,63.0,26.0,42.0,51.0,65.0,69.0,3,0,12500.0
E. Pereyra,23,67,74,"LB, LWB",DEF,1900000.0,74.0,32.0,54.0,64.0,63.0,59.0,7,0,27941.176470588234
E. Perleche,21,65,72,RB,DEF,1400000.0,72.0,48.0,54.0,61.0,60.0,62.0,7,0,21212.121212121212
E. Perozca,34,62,62,LB,DEF,150000.0,64.0,42.0,61.0,65.0,60.0,59.0,0,1,2380.9523809523807
E. Petignat,22,55,62,CDM,MID,240000.0,52.0,38.0,50.0,53.0,53.0,60.0,7,0,4285.714285714285
E. Peña Zauner,22,64,71,"CAM, LM",MID,1200000.0,76.0,56.0,64.0,67.0,34.0,50.0,7,0,18461.53846153846
E. Peñarendi,34,67,67,"CAM, LM",MID,475000.0,51.0,68.0,71.0,68.0,31.0,52.0,0,1,6985.294117647059
E. Piana,18,53,63,GK,GK,170000.0,69.0,55.0,58.0,63.0,56.0,66.0,10,0,3148.1481481481483
E. Pierozzi,20,61,72,"RB, RM",DEF,675000.0,73.0,40.0,49.0,60.0,56.0,60.0,11,0,10887.09677419355
E. Pieters,33,70,70,"LB, LM, CB",DEF,825000.0,53.0,40.0,68.0,69.0,73.0,72.0,0,1,11619.718309859154
E. Pinnock,29,76,76,CB,DEF,6500000.0,67.0,37.0,57.0,61.0,76.0,79.0,0,1,84415.58441558441
E. Piovi,29,73,73,"CDM, CM",MID,2600000.0,76.0,64.0,69.0,70.0,70.0,72.0,0,1,35135.13513513513
E. Pletinckx,21,67,78,CB,DEF,2100000.0,51.0,29.0,44.0,46.0,67.0,75.0,11,0,30882.352941176472
E. Poku,18,63,80,RW,ATT,1200000.0,92.0,52.0,52.0,67.0,28.0,44.0,17,0,18750.0
E. Polverino,25,62,67,GK,GK,475000.0,69.0,55.0,58.0,63.0,56.0,66.0,5,0,7539.68253968254
E. Ponce,25,74,78,ST,ATT,6000000.0,76.0,73.0,61.0,74.0,37.0,69.0,4,0,80000.0
E. Probst,21,60,66,ST,ATT,400000.0,82.0,61.0,46.0,54.0,17.0,64.0,6,0,6557.377049180328
E. Pálsson,29,62,62,"CDM, CM",MID,350000.0,55.0,51.0,56.0,56.0,59.0,69.0,0,1,5555.555555555556
E. Páucar,25,65,68,CDM,MID,850000.0,69.0,60.0,62.0,57.0,63.0,68.0,3,0,12878.787878787878
E. Pérez,29,65,65,"RM, RW",MID,700000.0,75.0,53.0,60.0,66.0,46.0,65.0,0,1,10606.060606060606
E. Pérez,36,78,78,"CDM, CM",MID,2800000.0,68.0,65.0,75.0,76.0,75.0,77.0,0,1,35443.037974683546
E. Qenaj,19,59,69,ST,ATT,500000.0,53.0,60.0,44.0,54.0,34.0,65.0,10,0,8333.333333333334
E. Radaslavescu,17,63,78,"CM, CAM",MID,1100000.0,74.0,63.0,65.0,63.0,46.0,61.0,15,0,17187.5
E. Rakip,26,67,70,"CM, CDM",MID,1300000.0,69.0,59.0,63.0,69.0,62.0,74.0,3,0,19117.647058823528
E. Ramírez,25,68,71,"ST, RM",ATT,1600000.0,79.0,69.0,61.0,69.0,27.0,56.0,3,0,23188.405797101448
E. Rashani,29,71,71,"LM, LW",MID,1800000.0,81.0,65.0,62.0,71.0,39.0,66.0,0,1,25000.0
E. Reiberos,22,66,66,RB,DEF,925000.0,64.0,54.0,60.0,62.0,64.0,70.0,0,1,13805.970149253732
E. Reitan,24,68,71,"RWB, CB",DEF,1500000.0,78.0,46.0,58.0,64.0,63.0,72.0,3,0,21739.130434782608
E. Remedi,27,68,71,"CDM, CM",MID,1400000.0,47.0,49.0,59.0,61.0,66.0,79.0,3,0,20289.855072463768
E. Rescaro,26,65,65,CAM,MID,775000.0,68.0,68.0,65.0,63.0,44.0,64.0,0,1,11742.424242424242
E. Restrepo,25,65,70,"CB, RB",DEF,950000.0,76.0,29.0,49.0,50.0,68.0,68.0,5,0,14393.939393939394
E. Revolledo,22,68,68,"RM, CAM",MID,1400000.0,57.0,63.0,65.0,74.0,38.0,52.0,0,1,20289.855072463768
E. Rexhbeçaj,24,73,77,"CM, CDM, CAM",MID,4300000.0,66.0,64.0,70.0,74.0,65.0,69.0,4,0,58108.10810810811
E. Reynoso,26,79,80,"CAM, LM",MID,20500000.0,67.0,67.0,78.0,80.0,59.0,67.0,1,0,256250.0
E. Rigoni,29,77,77,"RM, ST, LM",MID,10500000.0,83.0,73.0,74.0,78.0,46.0,60.0,0,1,134615.38461538462
E. Riis,24,71,75,ST,ATT,2700000.0,76.0,71.0,54.0,67.0,28.0,73.0,4,0,37500.0
E. Ring,20,63,74,LM,MID,1100000.0,80.0,54.0,56.0,63.0,33.0,68.0,11,0,17187.5
E. Rivas,20,64,70,ST,ATT,925000.0,74.0,63.0,50.0,60.0,18.0,62.0,6,0,14230.76923076923
E. Rivera,32,65,65,"CDM, CM",MID,475000.0,61.0,58.0,63.0,64.0,62.0,62.0,0,1,7196.969696969697
E. Roback,19,55,73,"LW, ST",ATT,325000.0,83.0,48.0,43.0,60.0,19.0,36.0,18,0,5803.571428571428
E. Robson,25,62,65,"CM, CDM",MID,525000.0,63.0,57.0,62.0,62.0,59.0,64.0,3,0,8333.333333333334
E. Roco,29,73,73,CB,DEF,2500000.0,54.0,41.0,55.0,58.0,72.0,76.0,0,1,33783.78378378379
E. Rodríguez,37,64,64,"CB, RB",DEF,100000.0,67.0,57.0,56.0,50.0,65.0,61.0,0,1,1538.4615384615386
E. Rodríguez,21,64,71,"LM, RM",MID,1200000.0,78.0,56.0,55.0,69.0,23.0,49.0,7,0,18461.53846153846
E. Roldán,21,68,77,"CM, RM, CDM",MID,2700000.0,78.0,63.0,64.0,71.0,63.0,64.0,9,0,39130.434782608696
E. Rolón,27,68,68,CDM,MID,1100000.0,65.0,53.0,63.0,64.0,65.0,66.0,0,1,15942.028985507246
E. Rondón,22,61,68,"CDM, RB, CB",MID,625000.0,55.0,54.0,51.0,55.0,60.0,61.0,7,0,10080.645161290322
E. Room,33,73,73,GK,GK,1000000.0,69.0,55.0,58.0,63.0,56.0,66.0,0,1,13513.513513513513
E. Rroca,28,65,65,CM,MID,725000.0,64.0,67.0,66.0,68.0,50.0,57.0,0,1,10984.848484848484
E. Ruud,38,66,66,RB,DEF,190000.0,53.0,64.0,70.0,65.0,63.0,71.0,0,1,2835.820895522388
E. Saavedra,26,67,68,"RM, CAM, RB",MID,1200000.0,73.0,62.0,64.0,65.0,63.0,56.0,1,0,17647.058823529413
E. Sabbi,24,67,70,RW,ATT,1400000.0,90.0,61.0,56.0,71.0,38.0,60.0,3,0,20588.235294117647
E. Sagal,30,66,66,"CDM, CM",MID,725000.0,50.0,56.0,63.0,66.0,63.0,69.0,0,1,10820.89552238806
E. Sahiti,23,71,75,"RW, LW, LM",ATT,2700000.0,84.0,69.0,64.0,74.0,40.0,58.0,4,0,37500.0
E. Salazar,21,60,67,CM,MID,500000.0,63.0,55.0,60.0,61.0,50.0,59.0,7,0,8196.72131147541
E. Salcedo,20,68,79,"CF, ST",ATT,2700000.0,76.0,63.0,60.0,76.0,39.0,51.0,11,0,39130.434782608696
E. Salinas,19,59,68,GK,GK,425000.0,69.0,55.0,58.0,63.0,56.0,66.0,9,0,7083.333333333333
E. Salles,28,65,68,GK,GK,650000.0,69.0,55.0,58.0,63.0,56.0,66.0,3,0,9848.484848484848
E. Salomonsson,33,67,67,"RB, RM",DEF,525000.0,69.0,65.0,65.0,65.0,63.0,66.0,0,1,7720.588235294118
E. Sancero,36,64,64,"LB, CM",DEF,130000.0,68.0,58.0,68.0,65.0,51.0,57.0,0,1,2000.0
E. Sandberg,22,60,67,CB,DEF,475000.0,59.0,34.0,43.0,52.0,58.0,68.0,7,0,7786.88524590164
E. Sarić,31,69,69,"CM, CDM",MID,1100000.0,67.0,60.0,68.0,69.0,63.0,71.0,0,1,15714.285714285714
E. Satılmış,25,58,63,GK,GK,240000.0,69.0,55.0,58.0,63.0,56.0,66.0,5,0,4067.7966101694915
E. Saveljich,31,71,71,CB,DEF,1300000.0,39.0,32.0,49.0,45.0,71.0,79.0,0,1,18055.555555555555
E. Schelotto,33,67,67,"RB, RWB",DEF,525000.0,60.0,57.0,64.0,61.0,66.0,66.0,0,1,7720.588235294118
E. Schreiner,33,65,65,"LWB, LB, LM",DEF,375000.0,66.0,60.0,62.0,64.0,58.0,70.0,0,1,5681.818181818182
E. Schwarz,27,60,61,CB,DEF,250000.0,64.0,24.0,44.0,39.0,62.0,61.0,1,0,4098.360655737705
E. Segberg,25,64,67,"CDM, CM",MID,700000.0,56.0,52.0,62.0,63.0,57.0,72.0,3,0,10769.23076923077
E. Segura,25,69,75,CB,DEF,1900000.0,61.0,30.0,49.0,57.0,68.0,74.0,6,0,27142.85714285714
E. Seidou,30,62,62,"LB, LWB",DEF,350000.0,66.0,50.0,59.0,62.0,57.0,74.0,0,1,5555.555555555556
E. Selvik,24,63,69,GK,GK,625000.0,69.0,55.0,58.0,63.0,56.0,66.0,6,0,9765.625
E. Serje,26,65,68,CDM,MID,850000.0,60.0,48.0,53.0,61.0,63.0,68.0,3,0,12878.787878787878
E. Shabani,19,58,75,"CM, CAM",MID,525000.0,65.0,49.0,55.0,60.0,54.0,62.0,17,0,8898.305084745763
E. Shahaf,24,62,67,"CM, CB",MID,600000.0,74.0,60.0,59.0,65.0,56.0,59.0,5,0,9523.809523809523
E. Shamir,27,67,68,"CM, CDM",MID,1200000.0,65.0,63.0,61.0,66.0,66.0,71.0,1,0,17647.058823529413
E. Shikavka,29,63,63,ST,ATT,475000.0,64.0,63.0,51.0,60.0,34.0,67.0,0,1,7421.875
